epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,2.05625,0.83295,0.47748,1.0039,0.94954,0.95215,0.95859,0.78347,0.73518,0.45327,0.97793,1.667e-05,1.667e-05,1.667e-05
2,43.2648,0.87225,0.48441,1.01339,0.95021,0.95053,0.95617,0.78264,0.73272,0.45134,0.97547,4.83597e-05,4.83597e-05,4.83597e-05
3,44.0656,0.85034,0.49225,1.01069,0.95042,0.94975,0.94943,0.76424,0.77096,0.45289,0.98529,7.78489e-05,7.78489e-05,7.78489e-05
4,44.8415,0.84713,0.49092,0.9943,0.94832,0.95,0.94389,0.75803,0.7896,0.45451,0.99262,0.000105138,0.000105138,0.000105138
5,45.6074,0.8431,0.48027,1.00353,0.94949,0.94869,0.94125,0.75539,0.7782,0.4488,0.99284,0.000130226,0.000130226,0.000130226
6,46.3759,0.84756,0.49928,1.00681,0.94727,0.95514,0.9421,0.76573,0.76002,0.44557,0.98842,0.000153114,0.000153114,0.000153114
7,47.1642,0.84813,0.48215,1.00433,0.9466,0.95408,0.93973,0.76867,0.7458,0.45087,0.98254,0.000173801,0.000173801,0.000173801
8,47.9337,0.83083,0.48946,1.00024,0.94649,0.95172,0.93945,0.77456,0.72595,0.45129,0.97464,0.000192288,0.000192288,0.000192288
9,48.7028,0.81801,0.47114,0.99747,0.94698,0.95198,0.93955,0.7757,0.72904,0.45102,0.97847,0.000208575,0.000208575,0.000208575
10,49.4825,0.80777,0.46716,1.0034,0.94749,0.95339,0.94259,0.77644,0.72892,0.4482,0.9779,0.000222661,0.000222661,0.000222661
11,50.2558,0.81748,0.47651,1.00092,0.94506,0.95305,0.95672,0.78185,0.73603,0.44936,0.97989,0.000234547,0.000234547,0.000234547
