epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,42.7802,0.94534,0.55671,1.03266,0.91338,0.91497,0.92341,0.70996,0.87455,0.58274,1.00757,1.667e-05,1.667e-05,1.667e-05
2,43.6807,0.9957,0.57824,1.05281,0.91712,0.91471,0.9243,0.71097,0.86939,0.57848,1.00598,4.83597e-05,4.83597e-05,4.83597e-05
3,44.4861,0.96699,0.58583,1.04298,0.91174,0.93906,0.9325,0.71781,0.87154,0.54923,1.00523,7.78489e-05,7.78489e-05,7.78489e-05
4,45.3365,0.92118,0.55184,1.01143,0.92408,0.93194,0.94435,0.72269,0.88724,0.52638,1.00905,0.000105138,0.000105138,0.000105138
5,46.2,0.91564,0.55069,1.01991,0.92395,0.94599,0.94863,0.73242,0.87272,0.51791,0.99436,0.000130226,0.000130226,0.000130226
6,47.0438,0.89006,0.5448,1.00519,0.93965,0.94099,0.94894,0.7358,0.87054,0.51847,0.99315,0.000153114,0.000153114,0.000153114
7,47.8945,0.88581,0.521,1.00201,0.94778,0.94286,0.94721,0.72979,0.87082,0.52242,0.99717,0.000173801,0.000173801,0.000173801
8,48.7317,0.89705,0.5363,1.01155,0.94179,0.94336,0.94865,0.73555,0.85394,0.51447,0.99077,0.000192288,0.000192288,0.000192288
9,49.5592,0.87916,0.51825,1.00753,0.94421,0.94265,0.94743,0.73274,0.86433,0.51363,0.99546,0.000208575,0.000208575,0.000208575
10,50.3816,0.87463,0.5174,1.01297,0.94179,0.94633,0.94284,0.71192,0.91944,0.52326,1.00958,0.000222661,0.000222661,0.000222661
11,51.2156,0.87081,0.52057,1.00614,0.93804,0.95128,0.94346,0.73406,0.87438,0.51722,0.99754,0.000234547,0.000234547,0.000234547
12,52.0577,0.87887,0.52592,1.00987,0.93745,0.95023,0.94091,0.73954,0.84416,0.51492,0.98839,0.000244232,0.000244232,0.000244232
13,52.9009,0.85531,0.50697,0.9988,0.93367,0.94692,0.93807,0.71658,0.90583,0.52452,1.00576,0.000251717,0.000251717,0.000251717
14,53.7375,0.84968,0.50643,0.98592,0.93564,0.95045,0.9386,0.70779,0.9269,0.5413,1.00888,0.000257001,0.000257001,0.000257001
15,54.5764,0.83101,0.50235,0.97894,0.93818,0.94256,0.93775,0.73268,0.84971,0.52386,0.98675,0.000260085,0.000260085,0.000260085
16,55.4126,0.84608,0.49694,0.98373,0.9429,0.93571,0.93536,0.73208,0.82312,0.51005,0.98009,0.000260969,0.000260969,0.000260969
17,56.2606,0.8153,0.49767,0.98355,0.94249,0.93794,0.93684,0.7335,0.8436,0.5039,0.98709,0.000259652,0.000259652,0.000259652
18,57.1073,0.81955,0.49877,0.98917,0.94294,0.94279,0.93999,0.7337,0.84813,0.49708,0.98663,0.000256135,0.000256135,0.000256135
19,57.9494,0.84471,0.49903,0.9707,0.94144,0.94834,0.94045,0.74943,0.80146,0.48828,0.97274,0.000250417,0.000250417,0.000250417
20,58.8106,0.83914,0.4895,0.98615,0.94068,0.94246,0.93761,0.74369,0.80984,0.49115,0.97552,0.000242498,0.000242498,0.000242498
21,60.3578,0.81865,0.52415,1.00265,0.93944,0.94262,0.94006,0.73895,0.82278,0.48423,0.97555,0.00023238,0.00023238,0.00023238
22,61.5245,0.7872,0.49636,0.97979,0.94414,0.94179,0.94681,0.72306,0.91017,0.49538,0.99418,0.000220061,0.000220061,0.000220061
23,62.5178,0.8046,0.47028,0.98251,0.94452,0.94028,0.9443,0.72645,0.89108,0.49728,0.98955,0.000205541,0.000205541,0.000205541
24,63.4775,0.79191,0.45521,0.96954,0.943,0.9391,0.94289,0.74587,0.83204,0.49177,0.97566,0.000188821,0.000188821,0.000188821
25,64.4341,0.79589,0.45602,0.97571,0.93654,0.94388,0.94205,0.74968,0.81073,0.48291,0.96848,0.000169901,0.000169901,0.000169901
26,65.4618,0.76025,0.43827,0.95386,0.93611,0.94422,0.94174,0.7455,0.80556,0.47925,0.96566,0.00014878,0.00014878,0.00014878
27,66.5053,0.74635,0.44007,0.9547,0.93697,0.94376,0.94383,0.75228,0.79712,0.47806,0.96291,0.000125458,0.000125458,0.000125458
28,67.5367,0.74849,0.43079,0.95413,0.93475,0.9427,0.94687,0.7598,0.77607,0.47255,0.95794,9.99366e-05,9.99366e-05,9.99366e-05
29,68.5623,0.74026,0.43259,0.95569,0.93983,0.9426,0.9468,0.76503,0.76563,0.46416,0.9547,7.22144e-05,7.22144e-05,7.22144e-05
30,69.5377,0.74549,0.43913,0.94623,0.93996,0.94592,0.9475,0.76935,0.75628,0.45672,0.95218,4.22918e-05,4.22918e-05,4.22918e-05
