epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1.78975,2.43368,3.61142,2.06149,0.70393,0.61996,0.67824,0.45024,1.23667,1.40534,1.22641,1.667e-05,1.667e-05,1.667e-05
2,2.62944,2.49205,3.62354,2.11847,0.69972,0.63449,0.68102,0.4525,1.23353,1.37735,1.22727,4.93911e-05,4.93911e-05,4.93911e-05
3,3.38508,2.4531,3.50764,2.0577,0.68461,0.64398,0.68254,0.45577,1.23376,1.3587,1.23032,8.12871e-05,8.12871e-05,8.12871e-05
4,4.1308,2.46394,3.61982,2.06193,0.75317,0.66782,0.77602,0.53347,1.15242,1.02385,1.18311,0.000112358,0.000112358,0.000112358
5,4.91846,2.012,1.8869,1.69446,0.77659,0.73045,0.81832,0.55897,1.11591,1.06373,1.16877,0.000142604,0.000142604,0.000142604
6,5.70959,1.6892,1.27319,1.45181,0.80737,0.75317,0.82134,0.53998,1.15129,1.12179,1.18353,0.000172024,0.000172024,0.000172024
7,6.49514,1.5123,1.04387,1.32659,0.7622,0.82607,0.83423,0.54837,1.12703,1.14223,1.17055,0.000200619,0.000200619,0.000200619
8,7.28782,1.39385,1.00656,1.24718,0.74874,0.86404,0.82613,0.53601,1.13189,1.15711,1.17353,0.000228389,0.000228389,0.000228389
9,8.06042,1.32664,0.92359,1.22754,0.80369,0.8442,0.86596,0.53526,1.23697,1.06463,1.22396,0.000255334,0.000255334,0.000255334
10,8.84416,1.2327,0.83156,1.18114,0.79119,0.84784,0.86194,0.50136,1.36216,1.04845,1.28658,0.000281454,0.000281454,0.000281454
11,9.61465,1.2179,0.79626,1.15997,0.81091,0.89548,0.90115,0.56925,1.25299,0.92073,1.2187,0.000306749,0.000306749,0.000306749
12,10.4084,1.22159,0.77766,1.16108,0.81629,0.86665,0.88952,0.53753,1.298,0.94712,1.23966,0.000331218,0.000331218,0.000331218
13,11.1735,1.15668,0.73332,1.12748,0.77198,0.88105,0.85709,0.49717,1.36629,1.02658,1.2732,0.000354863,0.000354863,0.000354863
14,11.9399,1.12838,0.7405,1.10342,0.76269,0.85742,0.81213,0.48952,1.32388,1.07776,1.23577,0.000377682,0.000377682,0.000377682
15,12.7179,1.10067,0.68026,1.09396,0.75946,0.87163,0.84153,0.53967,1.20143,1.086,1.18107,0.000399676,0.000399676,0.000399676
16,13.4938,1.10652,0.65769,1.09102,0.80123,0.85813,0.84375,0.51621,1.29735,1.10135,1.23131,0.000420845,0.000420845,0.000420845
17,14.2888,1.09494,0.65085,1.10163,0.83073,0.86777,0.87456,0.55175,1.24959,1.05848,1.20835,0.000441188,0.000441188,0.000441188
18,15.0639,1.06947,0.6375,1.09191,0.8447,0.87154,0.86867,0.48482,1.40926,1.09527,1.30187,0.000460707,0.000460707,0.000460707
19,15.8585,1.05871,0.63692,1.06684,0.85507,0.87895,0.86738,0.54495,1.24557,0.92462,1.21473,0.0004794,0.0004794,0.0004794
20,16.6309,1.06386,0.62446,1.08844,0.86973,0.88139,0.88499,0.56041,1.24992,0.89885,1.21082,0.000497268,0.000497268,0.000497268
21,17.4178,1.05751,0.62788,1.09983,0.88588,0.88573,0.88505,0.5797,1.21967,0.84212,1.1858,0.000514311,0.000514311,0.000514311
22,18.2243,1.04426,0.61123,1.0707,0.87788,0.8939,0.8973,0.62499,1.07431,0.85266,1.12362,0.000530529,0.000530529,0.000530529
23,19.0329,0.97641,0.58265,1.04867,0.86964,0.91681,0.91639,0.63616,1.06559,0.83229,1.11699,0.000545922,0.000545922,0.000545922
24,19.8473,1.03022,0.60706,1.08263,0.8694,0.90593,0.91601,0.5713,1.30564,0.86057,1.21989,0.000560489,0.000560489,0.000560489
25,20.6247,1.00898,0.57473,1.05559,0.84071,0.92919,0.9192,0.5935,1.20801,0.81191,1.1658,0.000574231,0.000574231,0.000574231
26,21.4124,1.01204,0.6,1.07175,0.88785,0.91336,0.9261,0.62638,1.12298,0.72419,1.11592,0.000587149,0.000587149,0.000587149
27,22.2203,1.02138,0.61932,1.08405,0.89092,0.91704,0.90945,0.66077,0.98394,0.64661,1.05699,0.000599241,0.000599241,0.000599241
28,23.0234,0.96607,0.57706,1.05722,0.86219,0.91704,0.91666,0.62053,1.10152,0.69548,1.10786,0.000610507,0.000610507,0.000610507
29,23.7998,1.02391,0.59325,1.07094,0.8525,0.89172,0.90902,0.6018,1.15404,0.738,1.14986,0.000620949,0.000620949,0.000620949
30,24.6146,0.99106,0.58022,1.05144,0.86905,0.90316,0.89797,0.62215,1.04846,0.71426,1.1005,0.000630566,0.000630566,0.000630566
31,25.4029,0.97749,0.58206,1.05175,0.89419,0.9141,0.90416,0.63851,1.02775,0.66837,1.08385,0.000639357,0.000639357,0.000639357
32,26.2059,0.98937,0.58865,1.07527,0.90433,0.92589,0.93159,0.63553,1.10599,0.66266,1.10433,0.000647323,0.000647323,0.000647323
33,26.9756,1.00207,0.58986,1.07414,0.92201,0.93437,0.94117,0.6822,0.97284,0.60962,1.0588,0.000654464,0.000654464,0.000654464
34,27.7748,0.96221,0.5655,1.04851,0.93014,0.93939,0.94229,0.70711,0.90416,0.61666,1.03822,0.00066078,0.00066078,0.00066078
35,28.5921,1.00709,0.59896,1.06419,0.93047,0.93577,0.9374,0.70244,0.9249,0.59448,1.05276,0.000666271,0.000666271,0.000666271
36,29.39,1.00602,0.57413,1.06269,0.91869,0.94916,0.94493,0.66296,1.05271,0.63286,1.11015,0.000670936,0.000670936,0.000670936
37,30.1822,0.97837,0.5807,1.05062,0.9196,0.95295,0.95157,0.6548,1.09435,0.66437,1.1396,0.000674777,0.000674777,0.000674777
38,30.9725,0.96579,0.58214,1.07231,0.91997,0.94916,0.94184,0.69341,0.9694,0.67644,1.08548,0.000677792,0.000677792,0.000677792
39,31.7708,0.96893,0.56759,1.04585,0.93417,0.9369,0.93094,0.70828,0.89775,0.61692,1.0527,0.000679982,0.000679982,0.000679982
40,32.5703,0.97915,0.56536,1.0717,0.91864,0.93946,0.93495,0.6961,0.94176,0.58536,1.06639,0.000681347,0.000681347,0.000681347
