epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,3.47214,2.41165,4.11093,1.95307,0.57396,0.51392,0.53806,0.30902,1.51763,1.81235,1.36935,1.667e-05,1.667e-05,1.667e-05
2,4.37639,2.43076,4.04151,1.95251,0.56772,0.53448,0.54219,0.31261,1.51437,1.78378,1.369,4.94599e-05,4.94599e-05,4.94599e-05
3,5.19628,2.43895,4.19297,1.96667,0.56433,0.53817,0.541,0.31295,1.51444,1.76187,1.36939,8.15163e-05,8.15163e-05,8.15163e-05
4,5.99196,2.32623,4.08281,1.83629,0.57604,0.54447,0.54594,0.31234,1.52017,1.73706,1.37319,0.000112839,0.000112839,0.000112839
5,6.81657,2.38205,4.02116,1.91461,0.71994,0.67254,0.73324,0.45137,1.31946,1.19368,1.22868,0.000143429,0.000143429,0.000143429
6,7.63997,1.85574,1.98382,1.53307,0.73848,0.76578,0.80842,0.50466,1.33615,1.13089,1.223,0.000173285,0.000173285,0.000173285
7,8.4802,1.50516,1.18001,1.31362,0.73999,0.82728,0.83621,0.53234,1.30241,1.01941,1.23401,0.000202407,0.000202407,0.000202407
8,9.31139,1.37379,0.97263,1.25112,0.71031,0.79792,0.80904,0.50872,1.31793,1.10061,1.25155,0.000230796,0.000230796,0.000230796
9,10.1211,1.28621,0.87758,1.20267,0.79698,0.84068,0.86496,0.58177,1.19349,1.11327,1.18362,0.000258452,0.000258452,0.000258452
10,10.95,1.20743,0.81249,1.16659,0.88751,0.86329,0.91497,0.62632,1.18883,1.17151,1.19597,0.000285374,0.000285374,0.000285374
11,11.7924,1.19882,0.79006,1.15728,0.86322,0.89466,0.92014,0.62591,1.16168,1.1361,1.17309,0.000311562,0.000311562,0.000311562
12,12.647,1.18463,0.7781,1.14395,0.88987,0.87548,0.91529,0.62689,1.18038,1.03476,1.16923,0.000337017,0.000337017,0.000337017
13,13.4915,1.14571,0.71925,1.10915,0.86355,0.8695,0.90346,0.61118,1.18267,1.06539,1.16764,0.000361739,0.000361739,0.000361739
14,14.327,1.10867,0.70726,1.08527,0.85435,0.87746,0.89501,0.60757,1.17314,1.23763,1.14577,0.000385727,0.000385727,0.000385727
15,15.1609,1.08542,0.65818,1.07847,0.85022,0.88799,0.89331,0.61283,1.13858,1.18957,1.12564,0.000408982,0.000408982,0.000408982
16,15.9955,1.11216,0.65982,1.07832,0.85857,0.88568,0.88858,0.61024,1.12994,1.11525,1.12844,0.000431503,0.000431503,0.000431503
17,16.8293,1.0591,0.6537,1.06943,0.88467,0.86333,0.89619,0.62146,1.12897,1.07963,1.11279,0.000453291,0.000453291,0.000453291
18,17.6442,1.04588,0.63925,1.07261,0.88809,0.87382,0.90367,0.53847,1.37692,1.14992,1.25827,0.000474345,0.000474345,0.000474345
19,18.462,1.09225,0.66609,1.06215,0.86895,0.87636,0.91156,0.62407,1.12861,1.00764,1.13764,0.000494666,0.000494666,0.000494666
20,19.2794,1.07276,0.63376,1.08171,0.83727,0.89127,0.91048,0.61251,1.17708,0.934,1.15945,0.000514253,0.000514253,0.000514253
21,20.0978,1.04614,0.64955,1.08799,0.85734,0.89096,0.90967,0.62066,1.19491,0.87748,1.1532,0.000533107,0.000533107,0.000533107
22,20.9324,1.04533,0.62567,1.06378,0.86364,0.87706,0.91051,0.65874,1.06922,0.88455,1.08988,0.000551227,0.000551227,0.000551227
23,21.7952,1.01496,0.60379,1.0474,0.88201,0.85651,0.90728,0.60671,1.20079,0.9563,1.14135,0.000568614,0.000568614,0.000568614
24,22.6353,1.02006,0.62068,1.06029,0.74934,0.84364,0.87335,0.51277,1.47437,1.24029,1.25932,0.000585267,0.000585267,0.000585267
25,23.4655,1.02759,0.60065,1.05306,0.83602,0.84868,0.90793,0.62745,1.17548,0.9484,1.11095,0.000601187,0.000601187,0.000601187
26,24.3123,1.01716,0.60552,1.06362,0.88649,0.89811,0.91386,0.53266,1.37491,0.82982,1.17776,0.000616373,0.000616373,0.000616373
27,25.1447,1.0662,0.63186,1.07987,0.92525,0.89953,0.91187,0.63253,1.08191,0.68909,1.06589,0.000630826,0.000630826,0.000630826
28,25.9765,0.97543,0.59,1.04286,0.91327,0.90141,0.90967,0.65223,1.05947,0.65588,1.06528,0.000644546,0.000644546,0.000644546
29,26.7997,1.01215,0.6057,1.0476,0.92106,0.89644,0.91856,0.63331,1.15497,0.68395,1.10293,0.000657531,0.000657531,0.000657531
30,27.6268,0.9859,0.5979,1.03589,0.88685,0.90251,0.91585,0.66429,1.0386,0.69342,1.06266,0.000669784,0.000669784,0.000669784
31,28.4758,0.99669,0.58925,1.03888,0.89624,0.9037,0.92513,0.67074,1.0264,0.66999,1.05992,0.000681303,0.000681303,0.000681303
32,29.3348,0.97809,0.59925,1.05492,0.90708,0.8847,0.92943,0.61289,1.21625,0.71271,1.13512,0.000692088,0.000692088,0.000692088
33,30.1622,1.02215,0.61192,1.07076,0.90007,0.89999,0.92072,0.64781,1.1054,0.68417,1.10254,0.00070214,0.00070214,0.00070214
34,30.9918,0.97048,0.58062,1.03661,0.90173,0.91647,0.9361,0.69118,0.97463,0.63743,1.05201,0.000711459,0.000711459,0.000711459
35,31.8348,1.01797,0.60058,1.05818,0.91121,0.8978,0.92102,0.66511,1.02004,0.64498,1.06853,0.000720044,0.000720044,0.000720044
36,32.6676,1.01308,0.58704,1.0454,0.90058,0.89383,0.91642,0.65698,1.04667,0.65081,1.07192,0.000727896,0.000727896,0.000727896
37,33.5117,0.96877,0.58864,1.03204,0.91311,0.88941,0.92462,0.67885,0.99321,0.63093,1.04527,0.000735014,0.000735014,0.000735014
38,34.3474,0.98573,0.58887,1.0572,0.91128,0.91535,0.92551,0.67065,1.01199,0.65327,1.05107,0.000741398,0.000741398,0.000741398
39,35.1937,0.95705,0.58706,1.02306,0.92234,0.92232,0.92622,0.67121,1.02312,0.64583,1.05449,0.000747049,0.000747049,0.000747049
40,36.031,0.97684,0.58234,1.04405,0.93582,0.93311,0.92299,0.69176,0.93102,0.59863,1.01445,0.000751967,0.000751967,0.000751967
41,36.8702,0.97691,0.57867,1.03192,0.91573,0.93424,0.92944,0.68686,0.96569,0.57617,1.03127,0.000756151,0.000756151,0.000756151
42,37.718,0.93021,0.55571,1.0354,0.9099,0.91299,0.92173,0.70672,0.88067,0.58876,1.00942,0.000759602,0.000759602,0.000759602
43,38.5682,0.97246,0.56838,1.05414,0.91602,0.92297,0.93389,0.69559,0.9518,0.59085,1.04183,0.000762319,0.000762319,0.000762319
44,39.4156,0.91985,0.53477,1.00205,0.94307,0.93298,0.94363,0.70325,0.95732,0.56077,1.04589,0.000764303,0.000764303,0.000764303
45,40.2364,0.95794,0.57884,1.05039,0.92118,0.93385,0.94785,0.67812,1.06654,0.60499,1.08895,0.000765553,0.000765553,0.000765553
46,41.055,0.95411,0.5585,1.03232,0.91984,0.92765,0.94478,0.68671,1.01074,0.62344,1.06373,0.00076607,0.00076607,0.00076607
47,41.8927,0.9223,0.54263,1.01109,0.9256,0.93014,0.92819,0.67458,0.97358,0.63604,1.0423,0.000765853,0.000765853,0.000765853
48,42.7279,0.91134,0.56607,1.02363,0.91652,0.92207,0.91907,0.62992,1.09164,0.66994,1.0867,0.000764903,0.000764903,0.000764903
49,43.5579,0.93446,0.56122,1.03437,0.91701,0.91486,0.92708,0.67382,0.99347,0.62685,1.05177,0.000763219,0.000763219,0.000763219
50,44.3834,0.90385,0.53155,1.00771,0.90535,0.90824,0.92837,0.66973,1.02015,0.64973,1.05392,0.000760802,0.000760802,0.000760802
51,45.2337,0.94425,0.55997,1.03504,0.92474,0.91345,0.93362,0.63932,1.14355,0.65691,1.09894,0.00075015,0.00075015,0.00075015
52,46.0951,0.9445,0.55212,1.03445,0.9272,0.91426,0.923,0.6446,1.10064,0.66123,1.0907,0.000731813,0.000731813,0.000731813
