epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1.63055,2.46507,3.28729,2.16605,0.68919,0.60249,0.64806,0.40786,1.33461,1.51202,1.27586,0,0,0
2,2.29783,2.43245,3.51858,2.11241,0.69909,0.60822,0.64782,0.40871,1.33244,1.50066,1.27617,1.63399e-05,1.63399e-05,1.63399e-05
3,2.9319,2.51096,3.79043,2.21398,0.69074,0.61593,0.64797,0.40887,1.33266,1.48468,1.27836,3.20197e-05,3.20197e-05,3.20197e-05
4,3.47996,2.56787,3.59588,2.19336,0.69496,0.62029,0.64722,0.41022,1.33107,1.47671,1.27947,4.70394e-05,4.70394e-05,4.70394e-05
5,4.03566,2.49592,3.34161,2.21548,0.6933,0.61408,0.64942,0.40864,1.32996,1.47312,1.28067,6.13989e-05,6.13989e-05,6.13989e-05
6,4.58264,2.55471,3.34761,2.19698,0.69953,0.61883,0.64967,0.40769,1.33142,1.4719,1.28278,7.50984e-05,7.50984e-05,7.50984e-05
7,5.12953,2.50953,3.51282,2.19051,0.69395,0.60974,0.64593,0.40729,1.33242,1.46782,1.28552,8.81376e-05,8.81376e-05,8.81376e-05
8,5.70721,2.52327,3.22502,2.2839,0.691,0.61048,0.64413,0.40452,1.33457,1.46824,1.28872,0.000100517,0.000100517,0.000100517
9,6.28395,2.51901,3.36651,2.20933,0.79615,0.64708,0.76069,0.4914,1.25416,1.06189,1.22103,0.000112236,0.000112236,0.000112236
10,6.88926,2.14794,2.30002,1.89158,0.78703,0.73119,0.8065,0.5249,1.22078,1.00887,1.20584,0.000123295,0.000123295,0.000123295
11,7.49564,1.99297,1.8094,1.75839,0.80112,0.74944,0.8274,0.54089,1.20875,1.04146,1.20962,0.000133693,0.000133693,0.000133693
12,8.12365,1.85531,1.60556,1.60578,0.82793,0.74058,0.84841,0.54651,1.20594,1.07819,1.21753,0.000143432,0.000143432,0.000143432
