epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,58.3161,2.21398,2.17043,1.24639,0.77041,0.82495,0.88106,0.51052,1.56949,inf,1.12219,0.0033121,0.0033121,0.0033121
2,114.884,1.63328,0.96083,1.02408,0.85212,0.88835,0.92163,0.51082,1.45814,inf,1.0383,0.00657965,0.00657965,0.00657965
3,170.794,1.48803,0.83315,0.97699,0.86693,0.90539,0.95891,0.61907,1.26228,inf,0.99625,0.00978119,0.00978119,0.00978119
4,226.789,1.32226,0.73544,0.93511,0.93344,0.94646,0.97672,0.70679,1.04523,inf,0.9394,0.009703,0.009703,0.009703
5,283.389,1.18703,0.65882,0.90548,0.954,0.95358,0.98533,0.73036,0.99435,inf,0.92569,0.009604,0.009604,0.009604
6,339.427,1.10902,0.61266,0.89232,0.93307,0.91887,0.97772,0.72855,1.01366,inf,0.93915,0.009505,0.009505,0.009505
7,394.97,1.06079,0.58351,0.88439,0.96978,0.97397,0.99015,0.77072,0.89586,inf,0.90844,0.009406,0.009406,0.009406
8,450.657,1.01518,0.55749,0.87669,0.97151,0.96912,0.98967,0.77817,0.8804,inf,0.91304,0.009307,0.009307,0.009307
9,506.55,0.98405,0.53964,0.87312,0.98078,0.97642,0.99254,0.77489,0.89081,inf,0.91192,0.009208,0.009208,0.009208
10,562.325,0.95592,0.52268,0.86797,0.9643,0.95522,0.99168,0.79682,0.80417,inf,0.88866,0.009109,0.009109,0.009109
11,618.095,0.93742,0.51138,0.86487,0.98915,0.98314,0.99367,0.79466,0.83753,inf,0.89673,0.00901,0.00901,0.00901
12,673.946,0.91477,0.50056,0.86229,0.98914,0.98521,0.99381,0.81469,0.75999,inf,0.87657,0.008911,0.008911,0.008911
13,729.411,0.8995,0.49266,0.85966,0.98646,0.98699,0.99372,0.82109,0.74097,inf,0.87874,0.008812,0.008812,0.008812
14,784.947,0.88501,0.48579,0.85738,0.98949,0.98665,0.99371,0.82641,0.71807,inf,0.87339,0.008713,0.008713,0.008713
15,840.2,0.8706,0.47702,0.85628,0.99177,0.98945,0.99408,0.83232,0.68567,inf,0.86161,0.008614,0.008614,0.008614
16,895.424,0.85387,0.46916,0.85414,0.99176,0.9884,0.99402,0.84497,0.67758,inf,0.87301,0.008515,0.008515,0.008515
17,951.018,0.84196,0.46251,0.85212,0.98464,0.97741,0.99282,0.83735,0.69124,inf,0.8705,0.008416,0.008416,0.008416
18,1006.23,0.83058,0.4574,0.85048,0.96903,0.95845,0.99229,0.84427,0.66295,inf,0.859,0.008317,0.008317,0.008317
19,1061.21,0.81521,0.45018,0.84843,0.99197,0.98753,0.99406,0.85428,0.63847,inf,0.8579,0.008218,0.008218,0.008218
20,1116.16,0.81007,0.44611,0.84815,0.9952,0.9917,0.99431,0.84098,0.67999,inf,0.8593,0.008119,0.008119,0.008119
