epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,56.9562,2.06174,1.82553,1.19375,0.80977,0.85667,0.90542,0.48777,1.54492,inf,1.05806,0.00332268,0.00332268,0.00332268
2,113.147,1.48002,0.85103,0.98394,0.92018,0.9322,0.96256,0.63808,1.20402,inf,0.96202,0.00659012,0.00659012,0.00659012
3,169.03,1.33159,0.74059,0.93938,0.91298,0.93266,0.97405,0.66007,1.16372,0.71517,0.952,0.00979156,0.00979156,0.00979156
4,224.629,1.17402,0.65615,0.90847,0.94839,0.95481,0.97379,0.73531,0.94855,inf,0.90731,0.009703,0.009703,0.009703
5,280.528,1.05737,0.58914,0.8876,0.97198,0.95588,0.98408,0.7671,0.86755,inf,0.88875,0.009604,0.009604,0.009604
6,336.104,0.98598,0.55024,0.87602,0.94355,0.9125,0.98896,0.79958,0.75426,inf,0.86927,0.009505,0.009505,0.009505
7,391.625,0.93319,0.52174,0.86794,0.85035,0.96255,0.98859,0.80921,0.72487,inf,0.86712,0.009406,0.009406,0.009406
8,446.796,0.89631,0.50039,0.86377,0.97819,0.96244,0.98817,0.81746,0.71963,inf,0.86088,0.009307,0.009307,0.009307
9,502.09,0.86883,0.4808,0.85972,0.98132,0.97303,0.99211,0.83901,0.67106,0.41221,0.85592,0.009208,0.009208,0.009208
10,556.849,0.84316,0.46867,0.85615,0.99037,0.98525,0.99375,0.83653,0.67457,0.38655,0.85611,0.009109,0.009109,0.009109
11,611.5,0.82315,0.45593,0.85271,0.98961,0.98559,0.99354,0.85661,0.61343,0.36787,0.84602,0.00901,0.00901,0.00901
12,666.15,0.80636,0.447,0.85139,0.9903,0.98168,0.99383,0.86261,0.60604,0.3849,0.84562,0.008911,0.008911,0.008911
13,721.155,0.78889,0.43739,0.84857,0.99206,0.98737,0.99419,0.86758,0.591,0.3633,0.84718,0.008812,0.008812,0.008812
14,775.849,0.77603,0.42979,0.84697,0.99493,0.99176,0.99421,0.87318,0.57239,0.34482,0.84125,0.008713,0.008713,0.008713
15,830.408,0.76399,0.42202,0.84503,0.99569,0.99188,0.9943,0.88242,0.55297,0.33656,0.84048,0.008614,0.008614,0.008614
16,884.927,0.74988,0.4154,0.84416,0.99421,0.98897,0.99432,0.88653,0.53044,0.33238,0.83567,0.008515,0.008515,0.008515
17,939.543,0.74074,0.4081,0.84274,0.99595,0.99305,0.99412,0.89177,0.53104,0.32357,0.83948,0.008416,0.008416,0.008416
18,994.469,0.72776,0.40351,0.84122,0.99618,0.99408,0.99432,0.89794,0.50718,0.31451,0.83418,0.008317,0.008317,0.008317
19,1048.85,0.72043,0.39825,0.84138,0.99647,0.9944,0.99437,0.90355,0.49306,0.30878,0.83043,0.008218,0.008218,0.008218
20,1103.3,0.70816,0.39316,0.83853,0.99672,0.99407,0.99443,0.90121,0.49077,0.30749,0.83065,0.008119,0.008119,0.008119
21,1158.03,0.70364,0.39024,0.83819,0.99669,0.99478,0.99442,0.90559,0.4827,0.30337,0.83016,0.00802,0.00802,0.00802
22,1212.77,0.69655,0.38582,0.83756,0.99698,0.9944,0.99437,0.91185,0.47238,0.29941,0.82857,0.007921,0.007921,0.007921
23,1267.4,0.68703,0.38264,0.83643,0.99689,0.994,0.99444,0.90852,0.47457,0.29964,0.82738,0.007822,0.007822,0.007822
